"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tulp3",-0.119744214285711,8.05036815384615,-0.839736887350709,0.415903346262906,0.739233015070872,-5.85985945585777
"Or1e30",0.103473952380955,4.75479892307692,0.839609697327742,0.415972185051983,0.739233015070872,-5.85996400974411
"Cs",-0.172777142857138,11.3818038461538,-0.839554653282831,0.416001978752138,0.739233015070872,-5.86000925314971
"Pkig",-0.0842721666666657,7.94093415384615,-0.839542654849127,0.416008473333151,0.739233015070872,-5.86001911489956
"Slc4a1",-0.114854119047617,6.95128069230769,-0.839512991858738,0.416024529773439,0.739233015070872,-5.86004349495624
"Crygc",-0.21925438095238,5.44246238461538,-0.839479434877489,0.416042694505269,0.739233015070872,-5.86007107456032
"Zfp169",0.0853110952380982,7.57688192307692,0.839430606010522,0.416069126995921,0.739233015070872,-5.86011120396458
"Cimap1a",-0.162789976190475,6.50339130769231,-0.839395482490656,0.416088141066335,0.739233015070872,-5.86014006850564
"Amer3",-0.104837738095235,4.95689392307692,-0.839365132655231,0.416104571370084,0.739233015070872,-5.86016500915767
"Cd109",-0.240069238095237,7.17016138461538,-0.839201598973485,0.416193109949451,0.739259889576297,-5.86029938270232
"Sgk2",0.171125928571431,5.90339576923077,0.83905778449119,0.416270982634409,0.739259889576297,-5.86041753386144
"Igh-VS107",0.0703450238095238,3.88489407692308,0.839036309165705,0.416282611919973,0.739259889576297,-5.86043517541488
"Pygm",-0.141825476190474,7.48685723076923,-0.838986759881062,0.416309444589563,0.739259889576297,-5.86047587762594
"Crnde",-0.115866142857139,6.10845346153846,-0.838959227458081,0.416324354851302,0.739259889576297,-5.86049849317757
"Lipa",-0.188878999999996,9.87345207692308,-0.838909598238321,0.416351232584355,0.739259889576297,-5.86053925769629
"Eef1akmt3",0.32436666666667,6.01550869230769,0.838820893164341,0.416399275503093,0.739259889576297,-5.86061211301725
"Hbs1l",0.134699714285718,9.40310238461539,0.838779360183216,0.416421771137822,0.739259889576297,-5.86064622254707
"G3bp2",0.110220333333338,9.93695192307692,0.838699546952496,0.416465002867058,0.739259889576297,-5.86071176601135
"Ctcfl",-0.066361261904758,6.32526215384615,-0.838676642526434,0.416477409851398,0.739259889576297,-5.86073057433565
"Stfa3",-0.0787684761904774,4.41040846153846,-0.838609225826058,0.416513929880117,0.739259889576297,-5.86078593193454
"Arid3c",-0.107531047619045,5.763093,-0.838559030724903,0.416541122235213,0.739259889576297,-5.86082714584453
"Klf16",-0.074842619047617,8.05120553846154,-0.838505021107379,0.416570382346126,0.739259889576297,-5.86087148928903
"Sncb",0.121031595238097,6.65918930769231,0.838372432931817,0.416642218712446,0.739325844372488,-5.86098033713739
"Psmg1",0.086004595238097,7.998272,0.838217537501686,0.416726151493602,0.739369906028217,-5.86110747853581
"Gns",-0.117063499999997,10.3506106923077,-0.838198633649534,0.41673639563652,0.739369906028217,-5.86112299377144
"Cnnm1",0.188989595238097,6.43412353846154,0.838016457333694,0.416835126880025,0.739395938598789,-5.86127249794914
"Rdh8",-0.0769248571428562,5.71066607692308,-0.837979805890626,0.416854992148557,0.739395938598789,-5.86130257267777
"Ing3",0.0822796428571468,8.59916407692308,0.837979622357366,0.416855091626085,0.739395938598789,-5.86130272327496
"Atoh7",0.119591261904763,8.34911953846154,0.837823143850741,0.416939910794793,0.739484875471027,-5.86143111009051
"Or5b121",-0.0779302380952354,4.63018676923077,-0.837697369959004,0.417008094761399,0.739541875827736,-5.86153428894944
"Rhof",0.149137261904765,6.90991815384615,0.837629519368402,0.417044880659888,0.739541875827736,-5.86158994455396
"Dcp2",-0.0832862380952362,7.48044276923077,-0.837571952872137,0.417076092604781,0.739541875827736,-5.86163716128874
"Necab2",-0.0821872857142827,5.96537469230769,-0.83735950798801,0.417191291274855,0.739636780380669,-5.86181138599121
"Hfm1",-0.133163761904762,4.57066523076923,-0.837296275140991,0.417225583457109,0.739636780380669,-5.86186323520354
"Chn2",-0.113722547619044,7.79516638461538,-0.837254691752618,0.417248135803119,0.739636780380669,-5.86189733053794
"Zfp526",-0.0641162142857139,7.46335261538462,-0.837203727571046,0.417275776824781,0.739636780380669,-5.86193911536749
"Ppp5c",0.0764466904761942,9.26355323076923,0.837153455334258,0.417303043742254,0.739636780380669,-5.86198033064898
"Wdr89",0.0952818809523821,7.01050553846154,0.836973930839425,0.417400424738514,0.739676237624227,-5.8621274942417
"Utp6",-0.0785801428571427,8.01041638461538,-0.836939231711936,0.417419248604567,0.739676237624227,-5.86215593527958
"Cma1",0.102857952380953,6.09054061538462,0.836864599815499,0.41745973741725,0.739676237624227,-5.86221710351521
"Pnrc2",-0.0593414285714253,10.7218430769231,-0.836856640667105,0.417464055515268,0.739676237624227,-5.86222362653778
"Lrch4",-0.112898357142855,8.74166292307692,-0.836749010183965,0.417522451453222,0.739700227159152,-5.86231183102938
"Lilra5",-0.0689513333333318,5.89215530769231,-0.836703818632475,0.417546972158822,0.739700227159152,-5.86234886302671
"Tktl1",0.171668452380956,5.58583830769231,0.836554705654898,0.417627886818625,0.739782111523539,-5.8624710402222
"Zfp94",0.0862688809523835,6.71235569230769,0.836406681558145,0.417708220806089,0.739807449333168,-5.8625923059375
"Or11g7",-0.0656834047619048,4.96540115384615,-0.836400495910831,0.417711578032796,0.739807449333168,-5.86259737298413
"Mpi",0.19260466666667,9.32267946153846,0.836324828564138,0.417752647512958,0.739818740600142,-5.86265935407479
"Tbxa2r",-0.0817688571428565,7.27244738461538,-0.836248802934338,0.417793914129917,0.739830379082076,-5.86272162358484
"Muc20",-0.208336190476189,5.72795169230769,-0.836038193958594,0.417908246414727,0.739971389732429,-5.86289409836923
"Hacd4",-0.176735380952379,8.02477753846154,-0.835780318758914,0.418048265895417,0.740087150279739,-5.86310522804774
"Traf7",-0.0797443809523788,9.00090761538462,-0.835637129110793,0.418126027437801,0.740087150279739,-5.86322243623955
"Vmn2r93",-0.251330047619045,5.78789023076923,-0.835605741571557,0.418143074238166,0.740087150279739,-5.8632481261721
"Ins2",0.405957809523811,5.906418,0.835556088893045,0.418170041901005,0.740087150279739,-5.86328876390818
